"totalCost","totalQty"
"7887","4"
"3014","7"
"14079","0"
"18962","0"
"8902","9"
"1453","3"
"7900","1"
"7140","7"
"6137","15"
"17593","18"
"17217","0"
"16130","13"
"16890","17"
"7498","8"
"414","13"
"9654","0"
"8140","3"
"13794","7"
"6776","8"
"13450","12"
"131","3"
"16197","0"
"8741","17"
"2475","13"
"12967","12"
"19639","1"
"12749","19"
"3207","10"
"17488","13"
"17056","10"
"2570","19"
"6831","19"
"11946","11"
"9418","6"
"2984","0"
"2613","4"
"7379","16"
"2849","5"
"6661","14"
"18959","0"
"6328","17"
"16946","8"
"3825","13"
"18513","7"
"9499","1"
"8044","10"
"3727","13"
"5494","17"
"18863","6"
"10401","19"
"18322","8"
"9400","5"
"4601","1"
"18405","16"
"7872","5"
"499","2"
"1713","2"
"11437","16"
"12690","9"
"5445","10"
"2878","6"
"10386","15"
"1905","2"
"3664","15"
"6429","3"
"19787","3"
"2074","10"
"5334","4"
"12987","16"
"18517","12"
"6907","2"
"12316","6"
"2005","16"
"15406","5"
"11891","12"
"19719","16"
"9631","1"
"2069","13"
"19445","7"
"8705","17"
"14105","6"
"972","9"
"18309","4"
"18260","7"
"11803","11"
"14646","6"
"15321","16"
"7853","7"
"5866","1"
"4120","1"
"7864","2"
"17178","18"
"11296","17"
"11579","17"
"19198","3"
"5612","7"
"17095","3"
"16904","17"
"9014","2"
"19189","15"
"12702","13"
"4394","5"
"7998","0"
"3083","11"
"2322","19"
"17071","14"
"11782","3"
"547","18"
"9989","14"
"4295","15"
"18160","16"
"18070","17"
"6219","19"
"16131","12"
"1073","14"
"4542","16"
"8231","2"
"2262","6"
"19566","13"
"14233","16"
"5970","9"
"11447","16"
"7168","6"
"8965","1"
"6324","12"
"13053","9"
"16720","0"
"16674","3"
"15656","0"
"5505","1"
"15258","14"
"4787","14"
"14748","2"
"8991","7"
"7470","17"
"10204","11"
"14606","15"
"2356","6"
"10314","12"
"10245","6"
"11695","7"
"1729","17"
"7233","15"
"16277","16"
"11460","16"
"678","5"
"15414","18"
"2935","1"
"18591","13"
"12263","7"
"10561","10"
"3000","12"
"7594","5"
"4458","12"
"9096","16"
"4838","19"
"7580","3"
"18519","15"
"9159","18"
"15090","10"
"4289","2"
"3382","11"
"16008","19"
"17678","4"
"2069","4"
"13300","11"
"8939","16"
"7312","0"
"12073","16"
"3997","11"
"2015","7"
"16172","15"
"2717","13"
"4003","18"
"16230","1"
"8317","12"
"8195","18"
"21","19"
"17172","17"
"18269","5"
"12834","14"
"2920","6"
"6608","8"
"18248","1"
"6256","14"
"8465","10"
"19282","13"
"12829","17"
"8246","4"
"14313","10"
"11939","8"
"18140","17"
"12944","16"
"3399","2"
"12703","8"
"5672","19"
"12938","14"
"7145","17"
"4437","10"
"3493","19"
"5155","17"
"14091","1"
"357","1"
"4251","3"
"8973","4"
"10157","4"
"18944","14"
"19985","6"
"13194","0"
"17648","7"
"16364","3"
"178","5"
"13168","6"
"11449","15"
"4989","6"
"17387","0"
"5158","12"
"16365","9"
"6364","12"
"13706","19"
"10692","17"
"7987","15"
"13156","8"
"16096","8"
"5686","7"
"9940","7"
"8447","19"
"703","16"
"14361","1"
"9022","12"
"5900","7"
"9437","3"
"5628","15"
"16508","10"
"16252","14"
"12207","11"
"7296","11"
"19039","16"
"13488","1"
"9038","13"
"14360","15"
"8920","9"
"6172","0"
"14068","13"
"17513","0"
"4026","5"
"16071","14"
"7327","3"
"14763","14"
"11100","2"
"5000","10"
"16845","1"
"18533","10"
"8629","10"
"1834","14"
"15198","18"
"14292","6"
"13694","1"
"1512","1"
"1621","2"
"17348","5"
"2515","9"
"273","2"
"16375","2"
"19765","1"
"17521","7"
"2053","13"
"10089","6"
"5655","15"
"19673","13"
"15061","11"
"18229","19"
"5325","11"
"13067","8"
"2854","11"
"17477","4"
"1038","14"
"16588","0"
"19406","0"
"16998","18"
"3167","13"
"8096","9"
"15317","7"
"18086","18"
"12313","12"
"9167","14"
"8981","16"
"6135","4"
"8297","10"
"868","9"
"15162","9"
"16937","11"
"1194","5"
"17960","11"
"11875","12"
"14994","13"
"19692","5"
"43","15"
"8222","11"
"15337","17"
"10640","11"
"3483","4"
"10703","12"
"8295","16"
"18122","11"
"1515","17"
"11017","8"
"16516","7"
"10493","0"
"1133","18"
"10610","5"
"19007","5"
"4802","12"
"12247","9"
"11395","2"
"12022","7"
"19744","7"
"17570","4"
"10374","16"
"8841","1"
"3125","7"
"11557","7"
"11222","16"
"379","11"
"8683","18"
"5150","16"
"10273","5"
"17969","15"
"18371","12"
"19721","16"
"9161","16"
"9584","7"
"5869","8"
"16486","13"
"6590","3"
"18210","14"
"14061","0"
"759","15"
"5349","13"
"18641","13"
"14872","8"
"13887","17"
"1044","5"
"11274","3"
"3572","12"
"11235","7"
"2546","4"
"2492","19"
"7675","19"
"17324","19"
"13083","2"
"15510","14"
"4664","0"
"10787","14"
"16314","14"
"11819","8"
"3143","16"
"2355","17"
"16237","16"
"7985","5"
"13721","1"
"13707","11"
"7108","19"
"10141","9"
"17645","14"
"16985","15"
"6370","9"
"10952","6"
"18360","6"
"8047","0"
"12314","7"
"3629","3"
"1565","7"
"14240","9"
"2866","12"
"4168","5"
"5141","13"
"14339","15"
"3619","1"
"14935","11"
"8744","19"
"7759","16"
"16438","7"
"8156","7"
"2866","18"
"8701","7"
"11720","18"
"9114","3"
"16414","6"
"16265","5"
"15078","10"
"18451","7"
"10829","18"
"18577","7"
"18033","1"
"15920","11"
"9776","4"
"2291","3"
"7579","17"
"2872","11"
"3657","12"
"10547","9"
"15464","1"
"18166","5"
"5198","4"
"5682","12"
"1486","1"
"14775","2"
"1894","19"
"2167","4"
"10804","16"
"14121","6"
"6121","15"
"15402","7"
"9430","11"
"16157","11"
"3555","4"
"17075","6"
"1439","5"
"16390","11"
"5841","1"
"5535","2"
"19020","6"
"16055","8"
"11554","15"
"923","17"
"19119","2"
"11560","1"
"9174","3"
"13654","8"
"12746","16"
"9394","7"
"10114","11"
"6499","13"
"13551","5"
"6765","18"
"11018","5"
"3860","16"
"2438","17"
"1400","3"
"3397","17"
"12703","7"
"1063","18"
"5617","2"
"3741","17"
"3421","7"
"15387","17"
"8344","3"
"18443","11"
"389","10"
"14814","10"
"14064","18"
"7710","0"
"9845","1"
"9536","17"
"1534","13"
"11253","10"
"745","1"
"16479","13"
"17064","18"
"18848","7"
"13985","15"
"333","14"
"3510","11"
"1698","14"
"17151","10"
"16720","16"
"13715","15"
"145","11"
"4742","13"
"3772","15"
"12364","16"
"1428","19"
"9212","11"
"18811","2"
"15343","9"
"1923","15"
"2920","1"
"5669","10"
"12366","2"
"2411","15"
"8756","16"
"9127","2"
"14361","17"
"3367","5"
"15275","5"
"7072","15"
"8519","5"
"17511","1"
"5627","14"
"12703","19"
"13741","2"
"10860","15"
"9076","12"
"8486","14"
"19652","10"
"18921","10"
"4199","0"
"15497","1"
"4871","16"
"11139","1"
"14504","16"
"15695","16"
"4082","0"
"16722","18"
"11756","5"
"13519","9"
"1924","11"
"7677","1"
"6091","12"
"6164","14"
"12253","2"
"16161","19"
"5278","7"
"14041","5"
"16800","7"
"3531","5"
"14241","19"
"4269","7"
"2481","17"
"5048","12"
"3250","1"
"19920","3"
"10136","15"
"8315","4"
"3504","14"
"4276","9"
"14012","17"
"2487","11"
"18140","17"
"9756","9"
"16841","16"
"19777","12"
"15866","9"
"18431","8"
"6282","16"
"9471","10"
"19633","1"
"19173","15"
"18062","17"
"8490","8"
"12038","9"
"7400","16"
"9606","0"
"19919","8"
"8101","8"
"1429","10"
"1893","17"
"19881","7"
"12696","10"
"6568","14"
"6942","9"
"1673","8"
"11981","13"
"14707","6"
"4394","11"
"18382","10"
"1907","10"
"11031","3"
"10239","4"
"13261","0"
"17533","15"
"15880","16"
"11545","12"
"18793","16"
"14397","3"
"3692","18"
"14612","4"
"15195","15"
"8361","10"
"19100","3"
"8367","3"
"2571","8"
"7162","8"
"18274","1"
"4746","15"
"5204","14"
"17831","11"
"6233","10"
"12104","3"
"259","8"
"6478","12"
"1840","0"
"2349","16"
"15960","5"
"2379","12"
"2022","16"
"15649","6"
"5156","0"
"8479","8"
"15759","3"
"17931","2"
"14089","2"
"4585","2"
"13901","17"
"7223","7"
"6781","0"
"17487","15"
"12471","3"
"4976","19"
"9766","4"
"17590","13"
"14549","18"
"8901","16"
"3646","0"
"7397","1"
"17985","17"
"1607","5"
"8464","16"
"4934","4"
"18119","1"
"73","12"
"9369","7"
"17509","10"
"4581","8"
"14111","11"
"5031","18"
"4206","3"
"15595","8"
"13631","17"
"861","10"
"6418","15"
"11004","6"
"16514","8"
"18892","1"
"834","15"
"16491","13"
"7523","6"
"18811","9"
"722","1"
"9278","18"
"6078","1"
"3456","13"
"8023","6"
"398","16"
"19538","13"
"196","10"
"9481","7"
"15236","15"
"8831","7"
"19267","3"
"8161","17"
"11325","6"
"7752","13"
"5801","2"
"13851","7"
"18311","2"
"9650","6"
"16757","13"
"9749","5"
"9089","19"
"11875","12"
"11481","18"
"6542","12"
"15038","15"
"15555","9"
"9015","12"
"9959","14"
"6978","0"
"10685","13"
"17157","11"
"8677","16"
"5411","16"
"13822","8"
"490","0"
"2092","12"
"19208","16"
"16277","18"
"16670","7"
"4069","10"
"11053","0"
"6481","12"
"8461","7"
"1880","17"
"1917","18"
"11046","2"
"9972","14"
"4082","13"
"17942","16"
"11911","4"
"15714","15"
"2656","4"
"5608","4"
"10093","10"
"15192","10"
"12210","18"
"19189","8"
"16814","2"
"489","4"
"15288","6"
"17458","17"
"11398","3"
"3738","1"
"4872","17"
"7716","1"
"11089","14"
"13154","11"
"17301","12"
"6052","15"
"3534","2"
"18187","14"
"7065","4"
"19803","3"
"7197","1"
"7247","15"
"12684","2"
"6630","13"
"11585","14"
"17563","15"
"11881","4"
"3058","8"
"18239","2"
"19918","2"
"12144","0"
"7040","16"
"10973","9"
"2522","6"
"4222","2"
"674","2"
"9091","19"
"18562","8"
"4438","9"
"15932","9"
"2620","17"
"12666","16"
"5339","3"
"35","8"
"7605","16"
"1290","2"
"19539","5"
"18849","0"
"6525","18"
"15339","4"
"7269","10"
"1134","9"
"2851","9"
"11751","16"
"14075","13"
"1944","14"
"5083","5"
"7388","0"
"8576","14"
"9403","19"
"4761","15"
"6841","2"
"3651","19"
"1737","15"
"8019","18"
"14848","16"
"9458","4"
"13636","16"
"10338","8"
