"totalCost","totalQty"
"3590","3"
"4325","7"
"4457","14"
"15107","10"
"19857","12"
"7352","2"
"3413","19"
"8184","12"
"7618","11"
"5164","18"
"2626","7"
"10315","13"
"7626","17"
"14905","2"
"5153","4"
"1017","19"
"14824","4"
"3472","1"
"11979","17"
"824","13"
"4642","13"
"1661","19"
"18500","1"
"15352","10"
"8841","15"
"4421","3"
"9145","1"
"11011","2"
"3702","6"
"8935","15"
"14532","2"
"7037","19"
"3633","5"
"12925","10"
"11972","16"
"10182","13"
"390","4"
"9209","8"
"18983","12"
"3701","2"
"17551","17"
"10122","14"
"14435","7"
"12604","14"
"16751","11"
"15894","11"
"10198","16"
"15144","15"
"15859","6"
"16127","3"
"13642","17"
"4704","9"
"18033","4"
"13952","15"
"7157","18"
"18755","15"
"8714","11"
"7631","18"
"15186","11"
"14508","4"
"6729","12"
"6170","13"
"3819","10"
"12271","14"
"13186","4"
"13356","7"
"3408","7"
"16859","2"
"7094","18"
"4423","10"
"11871","13"
"17687","13"
"8108","7"
"13992","16"
"2908","15"
"6278","12"
"4311","4"
"903","10"
"13591","16"
"1285","12"
"15924","7"
"18870","12"
"12395","9"
"7050","6"
"6250","9"
"12256","2"
"17818","15"
"2692","16"
"14889","5"
"4041","4"
"15508","18"
"17855","10"
"877","15"
"689","18"
"19023","6"
"10718","14"
"987","18"
"4082","4"
"13165","13"
"11681","11"
"17312","14"
"3071","3"
"4987","2"
"703","17"
"3223","18"
"6022","1"
"14829","19"
"13546","3"
"9185","10"
"4972","5"
"4229","8"
"5519","3"
"2443","5"
"4789","16"
"13324","6"
"13173","5"
"8110","13"
"14234","16"
"5780","0"
"7867","15"
"4552","9"
"14194","17"
"4286","0"
"9820","6"
"13157","17"
"3692","18"
"18863","14"
"15116","15"
"12922","9"
"18193","12"
"7418","7"
"2681","10"
"4453","8"
"3204","3"
"12443","11"
"11308","14"
"8944","7"
"3779","14"
"7032","16"
"16712","15"
"15534","11"
"5029","6"
"2016","0"
"13447","14"
"9338","2"
"2107","3"
"7469","10"
"1122","12"
"9116","14"
"6416","18"
"2019","17"
"4583","15"
"18021","11"
"15467","9"
"592","11"
"1154","6"
"16399","17"
"17162","6"
"16460","14"
"12662","17"
"15839","19"
"14887","15"
"19224","2"
"14915","6"
"8005","5"
"1332","18"
"800","13"
"543","5"
"15065","10"
"13344","14"
"1083","0"
"3231","8"
"9693","2"
"2609","11"
"15047","9"
"6893","19"
"12831","9"
"17544","2"
"16911","11"
"8016","0"
"1589","1"
"17378","15"
"2663","14"
"12489","8"
"1312","16"
"15892","4"
"9420","5"
"15986","16"
"16012","11"
"8332","12"
"11910","3"
"17119","16"
"16044","7"
"14708","5"
"7367","5"
"17854","15"
"10815","19"
"15472","12"
"10410","10"
"12600","8"
"13072","12"
"4060","13"
"14294","17"
"18159","10"
"2447","3"
"10192","15"
"4059","1"
"9632","8"
"7098","18"
"17886","16"
"19954","15"
"9312","14"
"17337","19"
"10896","6"
"9375","0"
"16897","18"
"14074","6"
"15244","3"
"17264","12"
"3307","19"
"18715","7"
"16945","18"
"12252","7"
"4645","12"
"19519","1"
"7449","2"
"7750","19"
"18155","17"
"14580","8"
"12055","13"
"3897","0"
"3831","9"
"15957","11"
"3256","14"
"10827","14"
"14554","18"
"5859","6"
"17507","2"
"1436","14"
"18625","7"
"5420","5"
"15163","12"
"18037","12"
"1554","1"
"4071","15"
"15417","17"
"6060","10"
"1294","1"
"6675","11"
"7988","8"
"13212","3"
"17486","19"
"12061","13"
"18842","6"
"13167","16"
"18536","18"
"3064","10"
"7318","14"
"17717","6"
"5226","9"
"18948","11"
"7146","2"
"7436","17"
"7131","10"
"1641","9"
"5524","8"
"16280","19"
"15038","18"
"11963","12"
"3338","9"
"1129","10"
"15215","7"
"6837","15"
"13695","0"
"8153","13"
"6981","17"
"1792","0"
"9982","3"
"17421","19"
"19953","17"
"4555","14"
"2539","5"
"11761","18"
"16987","4"
"16753","18"
"15047","18"
"11582","5"
"3242","16"
"10936","4"
"906","6"
"3862","17"
"14874","13"
"11534","8"
"13289","17"
"6595","15"
"12644","13"
"10956","9"
"207","12"
"1565","4"
"14971","12"
"469","15"
"5","6"
"4899","7"
"14539","4"
"4533","10"
"18860","19"
"9822","6"
"10938","14"
"6435","4"
"15518","8"
"3843","17"
"10505","10"
"1601","19"
"2387","5"
"17487","17"
"10354","10"
"11640","4"
"6231","13"
"2026","2"
"11048","12"
"11455","0"
"534","4"
"6279","13"
"14940","3"
"16147","11"
"4435","8"
"2144","5"
"3155","17"
"16541","3"
"11562","11"
"2971","9"
"16658","15"
"19281","5"
"6995","15"
"10409","16"
"2197","7"
"3371","12"
"13247","9"
"15683","0"
"4657","0"
"8081","14"
"698","5"
"5422","19"
"10135","13"
"8214","14"
"7177","0"
"2518","12"
"13106","6"
"11506","1"
"7275","15"
"9171","7"
"6853","17"
"8172","19"
"19450","10"
"11848","0"
"19823","17"
"17330","12"
"13673","14"
"13121","3"
"9320","14"
"4413","7"
"8068","10"
"2322","3"
"7171","7"
"10384","16"
"17269","14"
"10236","5"
"14540","6"
"8343","19"
"14555","7"
"11113","17"
"11657","7"
"16426","19"
"7890","8"
"15021","17"
"13627","5"
"15561","11"
"17424","2"
"14789","16"
"19195","18"
"10239","15"
"19907","4"
"18713","8"
"11263","3"
"64","16"
"6997","3"
"16666","19"
"19700","1"
"6764","15"
"19978","3"
"9062","2"
"19587","8"
"11980","10"
"8063","15"
"7105","0"
"5198","12"
"15826","10"
"5418","9"
"9084","11"
"4465","11"
"16635","17"
"15326","7"
"12176","15"
"14243","8"
"4461","13"
"11653","7"
"481","16"
"9620","13"
"10875","19"
"6598","7"
"2748","15"
"16079","8"
"2206","8"
"1790","8"
"2683","1"
"5431","6"
"16411","19"
"16584","7"
"3037","7"
"6059","18"
"16929","0"
"13175","7"
"16656","0"
"9955","8"
"6025","14"
"12632","4"
"8809","6"
"17042","18"
"14486","14"
"3091","19"
"11784","4"
"12580","16"
"9653","1"
"9961","3"
"3415","12"
"5375","5"
"1179","5"
"6516","12"
"10441","10"
"355","3"
"1771","12"
"5771","15"
"16381","19"
"16108","19"
"16431","3"
"15581","0"
"12153","15"
"3148","2"
"15164","16"
"8083","6"
"3601","11"
"4499","16"
"7440","12"
"8048","10"
"1087","10"
"3017","12"
"9717","9"
"14962","12"
"13930","7"
"18128","6"
"829","0"
"14384","4"
"16929","1"
"14820","3"
"14213","15"
"12635","1"
"6687","6"
"18748","0"
"8020","0"
"1887","5"
"12838","13"
"1640","6"
"2427","4"
"10240","14"
"1030","11"
"6258","7"
"10612","12"
"1599","14"
"13428","12"
"19391","19"
"17764","3"
"4917","12"
"14741","6"
"7501","7"
"6074","6"
"18292","17"
"5458","1"
"6836","10"
"4304","9"
"459","3"
"11427","9"
"14343","2"
"12551","0"
"384","16"
"17639","3"
"6386","15"
"10988","7"
"9781","3"
"13479","12"
"9787","4"
"2455","1"
"709","9"
"13496","3"
"15362","7"
"12424","17"
"7877","13"
"18359","15"
"19458","8"
"14411","16"
"12358","12"
"18924","14"
"9648","14"
"3922","16"
"10991","9"
"778","10"
"14585","16"
"18687","5"
"14340","2"
"17483","16"
"6629","17"
"10649","0"
"6980","9"
"18261","7"
"9016","12"
"3859","6"
"16388","19"
"15129","13"
"9293","12"
"19274","5"
"8887","16"
"10160","2"
"3899","0"
"12613","19"
"5255","12"
"3742","10"
"14802","8"
"8405","5"
"14746","7"
"16593","7"
"2492","18"
"12596","17"
"14351","9"
"16129","4"
"16638","13"
"4616","15"
"2304","18"
"12719","2"
"8662","5"
"17470","3"
"8192","7"
"19911","18"
"3708","12"
"1809","5"
"8668","18"
"1376","1"
"13379","15"
"9538","7"
"10971","18"
"8600","3"
"12726","2"
"16319","6"
"9152","0"
"8474","4"
"11997","18"
"13630","4"
"4900","18"
"6233","1"
"8151","6"
"19328","3"
"14462","3"
"2356","11"
"95","5"
"11920","8"
"18877","17"
"18418","2"
"9706","6"
"15043","9"
"297","9"
"16165","3"
"7077","8"
"9176","11"
"2119","2"
"11753","17"
"8984","13"
"10039","12"
"12468","6"
"3299","4"
"15367","6"
"5459","5"
"17735","7"
"3331","17"
"7821","5"
"2154","4"
"6705","11"
"7076","14"
"7873","18"
"16801","11"
"11037","19"
"4393","4"
"114","10"
"3466","3"
"10098","7"
"9088","19"
"2796","2"
"17023","14"
"11182","12"
"5024","0"
"4179","4"
"9446","4"
"14346","16"
"939","3"
"8965","16"
"5068","1"
"17210","9"
"5934","8"
"12794","7"
"4844","17"
"11083","18"
"7710","6"
"965","15"
"18119","14"
"3493","12"
"13339","11"
"785","10"
"13451","13"
"8841","13"
"16687","1"
"9190","6"
"16815","17"
"1138","0"
"6413","15"
"15491","14"
"11026","1"
"9013","2"
"1652","16"
"11075","3"
"11840","14"
"8514","18"
"842","6"
"17178","19"
"4943","6"
"2338","10"
"14467","15"
"15287","4"
"5563","2"
"14713","3"
"6937","4"
"226","3"
"5456","4"
"8611","13"
"3219","8"
"4828","18"
"3326","13"
"9144","15"
"16704","13"
"5859","7"
"19236","0"
"1065","15"
"17915","15"
"7501","7"
"6375","16"
"17378","15"
"3814","2"
"15305","0"
"8377","18"
"14824","9"
"8336","8"
"17731","2"
"980","8"
"16506","3"
"5521","0"
"1503","15"
"5470","10"
"16882","19"
"2283","12"
"18011","10"
"15653","8"
"4643","4"
"12040","7"
"2767","7"
"11522","14"
"17081","14"
"10752","3"
"749","5"
"17559","2"
"14142","18"
"16401","11"
"14723","14"
"3859","5"
"14097","7"
"8231","6"
"245","10"
"16202","5"
"1582","14"
"13619","10"
"3973","7"
"6143","4"
"1227","6"
"1878","17"
"2925","6"
"18363","16"
"1878","16"
"2389","15"
"3265","4"
"11093","12"
"9466","19"
"10531","9"
"7504","1"
"13129","12"
"10712","16"
"1724","18"
"11809","4"
"19299","17"
"11216","11"
"3749","10"
"15864","17"
"3891","9"
"17431","12"
"8399","14"
"7760","5"
"4536","12"
"1792","19"
"8915","12"
"4351","13"
"5944","5"
"8374","8"
"11446","13"
"12791","15"
"8899","17"
"16733","18"
"11395","18"
"2017","3"
"17716","2"
"6870","7"
