"totalCost","totalQty"
"5074","13"
"3944","10"
"11911","7"
"4097","3"
"7126","18"
"14586","10"
"14440","1"
"13254","5"
"6757","19"
"17047","4"
"10211","16"
"14302","4"
"10185","1"
"5949","11"
"19199","7"
"2795","9"
"2228","1"
"11907","13"
"7500","4"
"1289","10"
"16804","12"
"11387","4"
"11618","7"
"815","19"
"14622","18"
"11407","1"
"1511","8"
"6189","1"
"11923","2"
"12101","0"
"647","17"
"11630","1"
"11295","7"
"8284","2"
"8315","1"
"2453","17"
"8871","11"
"1421","9"
"18981","2"
"18465","9"
"2328","6"
"18285","7"
"12816","11"
"14250","11"
"3629","14"
"4424","3"
"16849","2"
"2179","19"
"871","10"
"3173","18"
"5834","7"
"2872","7"
"17844","1"
"13030","14"
"4580","10"
"18063","7"
"2346","8"
"18406","6"
"5810","0"
"17416","10"
"13770","5"
"16250","16"
"8146","18"
"13471","7"
"19199","0"
"275","9"
"16300","8"
"358","4"
"4446","17"
"19384","4"
"11730","19"
"3213","18"
"2726","3"
"14670","2"
"10209","11"
"9884","3"
"13311","6"
"9745","14"
"11836","17"
"9173","17"
"3580","13"
"6106","14"
"13493","13"
"4116","13"
"10139","9"
"4824","0"
"7462","5"
"10064","17"
"14881","11"
"8857","2"
"19473","12"
"16345","4"
"12032","18"
"256","18"
"11205","7"
"13402","10"
"11346","14"
"4429","10"
"2778","15"
"15510","1"
"8988","13"
"17210","17"
"9393","0"
"13644","5"
"14094","6"
"7290","19"
"2230","15"
"11924","15"
"10272","12"
"19355","16"
"14016","0"
"3105","9"
"16116","15"
"4770","13"
"1773","4"
"18910","12"
"16440","2"
"2579","17"
"18536","8"
"16147","0"
"19874","9"
"11367","1"
"421","8"
"17568","4"
"14964","17"
"3925","8"
"289","12"
"350","15"
"18583","19"
"8716","15"
"18660","6"
"17154","3"
"15425","16"
"404","18"
"14048","13"
"18875","0"
"3377","11"
"7859","16"
"6801","3"
"145","1"
"14735","16"
"16643","2"
"19676","11"
"6726","2"
"17039","18"
"15966","12"
"754","3"
"2614","12"
"4908","2"
"8468","6"
"2956","15"
"10712","4"
"12910","1"
"15153","12"
"18221","12"
"9884","0"
"4710","2"
"17914","9"
"5285","14"
"6700","16"
"3247","9"
"2638","3"
"2475","17"
"16397","9"
"9293","8"
"19142","5"
"19263","6"
"9309","5"
"4750","6"
"5494","16"
"4751","3"
"11444","4"
"8621","6"
"5676","14"
"17105","7"
"13093","4"
"12780","16"
"6478","6"
"67","2"
"19643","14"
"15799","3"
"14462","1"
"3311","7"
"11518","2"
"1093","0"
"17751","17"
"10795","4"
"14350","18"
"1560","17"
"17486","17"
"2002","19"
"12452","6"
"9625","14"
"15411","3"
"174","16"
"11061","17"
"10815","19"
"18031","16"
"14288","8"
"13008","7"
"6022","7"
"17126","3"
"19347","7"
"573","17"
"9914","6"
"7764","6"
"17662","10"
"14301","19"
"18091","0"
"12049","6"
"18816","1"
"5614","12"
"4344","7"
"14767","19"
"4756","10"
"646","8"
"1318","12"
"1752","17"
"8381","16"
"533","1"
"13832","6"
"10962","12"
"7816","12"
"11237","14"
"8982","9"
"5052","9"
"17870","7"
"6875","10"
"13303","8"
"7600","6"
"13744","1"
"10421","10"
"16761","2"
"14337","1"
"2939","7"
"2731","14"
"8757","1"
"8956","9"
"19524","14"
"2895","3"
"5646","9"
"5640","2"
"13707","9"
"2159","16"
"12912","1"
"1896","1"
"18329","18"
"10960","12"
"18387","2"
"2581","17"
"17603","16"
"13554","1"
"310","6"
"18950","3"
"11750","2"
"1712","19"
"8198","14"
"9193","2"
"7115","7"
"11454","5"
"19766","15"
"14121","11"
"10946","15"
"14347","2"
"2054","8"
"17352","6"
"14664","16"
"3422","16"
"14591","9"
"5603","6"
"13283","9"
"9723","5"
"1011","17"
"14579","9"
"5250","4"
"893","13"
"12063","1"
"6472","17"
"2495","2"
"5243","8"
"16041","3"
"1518","8"
"19966","13"
"19460","2"
"7363","19"
"6377","4"
"17357","16"
"2692","17"
"7560","13"
"12346","11"
"8516","14"
"17311","0"
"5020","0"
"16569","7"
"5764","13"
"15539","15"
"12462","16"
"12762","6"
"3513","0"
"8280","0"
"14072","4"
"19210","19"
"11162","9"
"16224","15"
"6778","8"
"5105","11"
"7717","8"
"7353","19"
"14532","15"
"528","13"
"10053","5"
"11783","6"
"13258","18"
"2594","14"
"6798","10"
"12333","4"
"15087","15"
"14492","17"
"9213","6"
"10019","12"
"285","10"
"430","11"
"18842","6"
"6718","16"
"3177","7"
"12737","7"
"12471","15"
"13676","13"
"10417","9"
"3928","10"
"15023","9"
"2039","17"
"9087","17"
"9233","4"
"14442","1"
"17759","19"
"17605","4"
"6883","17"
"4469","8"
"12194","10"
"9055","16"
"15488","12"
"9612","9"
"18038","1"
"6166","18"
"5681","3"
"19570","6"
"12298","19"
"18010","13"
"3774","12"
"17621","4"
"4330","8"
"12133","5"
"11621","5"
"12812","10"
"12890","14"
"13340","1"
"5312","17"
"13082","17"
"19256","17"
"3886","9"
"10530","13"
"18058","10"
"3835","15"
"7444","4"
"6103","7"
"11794","9"
"10424","12"
"15217","6"
"4777","17"
"3378","15"
"4249","14"
"6994","14"
"18231","14"
"14452","2"
"17094","17"
"9805","13"
"12381","11"
"15723","11"
"5406","0"
"355","5"
"2352","15"
"12342","6"
"6236","5"
"2751","3"
"5409","11"
"6619","5"
"13972","5"
"7158","8"
"4407","11"
"19726","3"
"6388","17"
"3654","7"
"18903","14"
"13321","11"
"13414","14"
"4473","1"
"16797","13"
"15699","6"
"7146","1"
"1633","7"
"17890","0"
"15740","19"
"16254","3"
"3515","7"
"12662","15"
"284","6"
"1399","18"
"18222","14"
"11876","10"
"19993","8"
"16167","17"
"16683","7"
"8850","1"
"9119","0"
"375","0"
"5228","10"
"6208","0"
"12359","13"
"12395","4"
"1750","2"
"9926","3"
"13459","17"
"7459","3"
"2456","3"
"1656","7"
"16429","4"
"17302","18"
"2828","16"
"17795","3"
"11789","10"
"8086","12"
"1395","14"
"11407","19"
"13522","4"
"19728","17"
"4155","9"
"4892","19"
"8645","6"
"12811","4"
"11706","14"
"12295","9"
"2875","13"
"16550","8"
"14513","19"
"9924","14"
"16177","3"
"5116","19"
"5739","8"
"10594","8"
"1616","18"
"19744","9"
"29","13"
"19564","15"
"15752","16"
"9507","6"
"17734","14"
"6180","15"
"13782","5"
"9675","3"
"19566","1"
"8008","15"
"6144","2"
"5851","5"
"14856","2"
"8271","5"
"11989","16"
"7120","5"
"15121","18"
"10282","15"
"1071","3"
"18144","0"
"11408","11"
"8389","10"
"10130","11"
"346","11"
"9494","17"
"12229","2"
"7980","5"
"3978","16"
"15741","16"
"5449","12"
"18069","10"
"16179","11"
"14507","3"
"14890","6"
"3598","18"
"18005","2"
"3405","2"
"1500","14"
"12867","14"
"14822","17"
"478","8"
"14381","19"
"1867","11"
"17723","6"
"9535","5"
"4739","2"
"12292","4"
"12030","1"
"18974","5"
"18560","13"
"9721","15"
"11990","8"
"8401","18"
"16479","11"
"1309","0"
"15748","4"
"17017","18"
"16245","9"
"17199","8"
"674","10"
"9794","2"
"9714","2"
"4662","14"
"18884","3"
"5791","15"
"18336","8"
"17412","13"
"2360","3"
"19984","16"
"12256","16"
"16309","16"
"15239","1"
"18045","6"
"17585","6"
"10094","4"
"18099","4"
"11449","10"
"9291","6"
"11456","1"
"7769","3"
"17569","14"
"925","15"
"676","8"
"12206","10"
"12829","12"
"14900","19"
"6493","2"
"8836","10"
"9340","0"
"11957","16"
"6651","19"
"17891","9"
"1465","14"
"12608","8"
"16276","7"
"12370","11"
"8218","5"
"8397","13"
"14315","8"
"8685","13"
"11820","13"
"7375","2"
"10347","1"
"5101","9"
"14890","14"
"19445","0"
"10154","9"
"10790","0"
"14774","9"
"16358","9"
"4904","17"
"14946","10"
"15100","17"
"13346","8"
"11791","1"
"15496","9"
"15731","16"
"13478","14"
"6642","19"
"1625","18"
"14428","9"
"3557","17"
"6736","2"
"10510","13"
"13795","4"
"18961","4"
"5071","0"
"16989","8"
"13819","10"
"2097","2"
"14211","15"
"3603","16"
"15268","0"
"6826","14"
"11654","3"
"5593","19"
"14502","15"
"6809","9"
"11455","10"
"5042","16"
"4053","7"
"5301","15"
"12862","6"
"14424","14"
"15564","19"
"10895","4"
"16059","14"
"5667","9"
"12724","9"
"6738","16"
"1212","13"
"2788","18"
"13020","12"
"19653","14"
"14605","9"
"17027","6"
"7967","17"
"5606","4"
"4039","12"
"4710","7"
"19779","16"
"8366","9"
"14891","10"
"10604","5"
"5174","1"
"2929","14"
"6694","13"
"5611","18"
"17329","15"
"17148","13"
"1005","7"
"16951","2"
"7447","18"
"19479","16"
"1055","11"
"18620","3"
"13044","14"
"163","15"
"6696","19"
"14560","10"
"13055","5"
"10619","13"
"8570","3"
"5764","11"
"17530","5"
"10740","2"
"17075","0"
"130","8"
"15599","3"
"3134","7"
"3227","13"
"16621","15"
"15986","9"
"19618","8"
"5348","1"
"17429","11"
"2979","4"
"7171","8"
"9418","19"
"2562","2"
"7915","1"
"16959","0"
"16179","4"
"16374","17"
"9947","4"
"3533","17"
"10702","8"
"6286","13"
"18290","12"
"8127","5"
"7733","16"
"14015","16"
"12405","3"
"6559","13"
"844","13"
"19418","14"
"7287","16"
"2995","5"
"9857","7"
"16298","8"
"12880","8"
"12218","1"
"652","14"
"6066","19"
"8903","3"
"5070","9"
"11886","16"
"19793","9"
"3147","1"
"9697","14"
"7987","9"
"10431","15"
"16467","5"
"130","3"
"17586","5"
"1103","1"
"11970","19"
"11447","16"
"15625","1"
"8333","5"
"7175","7"
"14626","2"
"2819","18"
"18623","15"
"2006","8"
"18270","16"
"2515","19"
"11622","13"
"1970","5"
"15809","11"
"9464","6"
"3611","4"
"12805","18"
"18137","6"
"2105","19"
"7028","13"
"7299","8"
"4145","14"
"424","0"
"12350","13"
"12269","8"
"17003","15"
"7809","7"
"2274","5"
"9577","12"
"4516","1"
"2025","19"
"11010","10"
"2636","1"
"12949","19"
"3121","14"
"4442","1"
"16402","17"
"6573","2"
"3985","3"
"15873","19"
"6786","18"
"10362","3"
"14383","1"
"9031","2"
"18668","17"
"15519","12"
"5208","14"
"7767","14"
"8428","19"
"8925","19"
"19299","9"
"11796","0"
"13350","19"
"7148","2"
"4435","3"
"1533","18"
"10025","9"
"16896","15"
"9267","5"
"7402","13"
"8206","12"
"17542","9"
"9753","4"
"7694","0"
"3832","13"
"1638","17"
"7493","3"
"3413","15"
"15540","13"
"17792","2"
"385","17"
"19781","17"
"14552","10"
"3281","13"
"19392","0"
"606","16"
"7141","14"
"2061","4"
"12928","6"
"6171","1"
"1510","2"
"771","2"
"682","14"
"8465","17"
"17487","4"
"17662","17"
"14606","15"
"3757","8"
"15521","1"
"18016","19"
"7050","12"
"17592","5"
"1986","19"
"14599","5"
"6562","6"
"14100","12"
"10727","7"
"14026","18"
"7206","9"
"12541","2"
"11852","15"
"14106","0"
"3472","15"
"19210","12"
"12312","13"
"6467","5"
"15717","2"
"12043","3"
"5052","6"
"11818","8"
"12465","1"
"6730","1"
"9362","15"
"17998","9"
"2221","16"
"13132","6"
"2271","19"
"9640","19"
"3066","3"
"7375","11"
"2771","19"
